Lawyer ID,Entity Type,Company Name,Attorney Name,Primary Email,Phone,Location,Practice Area,Website,Total Emails,Verified Emails,Completeness Score,Quality Score,Last Updated
7345,law_firm,"Gallagher & Kennedy, P.A.",N/A,paul.madden@gknet.com,N/A,"Chandler, Arizona",Personal Injury,N/A,1,1,33.33333333333333,50.0,2025-10-24T07:32:00.929170+00:00
7344,law_firm,Lazzara Law Firm,N/A,N/A,N/A,"Chandler, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:02.901308+00:00
7343,law_firm,"Resnick & Louis, P.C.",N/A,N/A,N/A,"Chandler, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:01.726312+00:00
7342,law_firm,"Perez Law Group, PLLC",N/A,N/A,N/A,"Chandler, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:02.821607+00:00
7341,law_firm,Hirsch & Lyon Accident Law PLLC,N/A,ContactUs,+16022647700,"Chandler, Arizona",Personal Injury,https://www.hirschandlyonaccidentlaw.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:03.977394+00:00
7340,law_firm,"Tawney, Acosta & Chaparro P.C.",N/A,ContactUs,+19152436200,"Chandler, Arizona",Personal Injury,https://ftalawfirm.com/,1,1,68.33333333333334,75.0,2025-10-24T07:32:12.727156+00:00
7339,law_firm,"The McClellan Law Firm, PLC",N/A,ContactUs,+16029222529,"Chandler, Arizona",Personal Injury,https://www.mcclellanlawaz.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:13.160372+00:00
7338,law_firm,Genesis Legal Group,N/A,ContactUs,+16028998139,"Chandler, Arizona",Personal Injury,https://genesislegalgroup.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:12.195146+00:00
7337,law_firm,SG Law,N/A,ContactUs,+14807021211,"Chandler, Arizona",Personal Injury,http://www.sgazlaw.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:12.579791+00:00
7336,law_firm,"Downing, Allison & Jorgenson National Vaccine Injury
                    Lawyers",N/A,ContactUs,+18887474529,"Chandler, Arizona",Personal Injury,https://www.nationalvaccineinjurylawyer.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:14.894453+00:00
7335,law_firm,Ffox Law,N/A,ContactUs,+16029225490,"Chandler, Arizona",Personal Injury,N/A,1,1,56.666666666666664,75.0,2025-10-24T07:32:16.216958+00:00
7334,law_firm,Phillips Law Group,N/A,ContactUs,+16022222222,"Chandler, Arizona",Personal Injury,https://www.phillipslaw.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:15.325229+00:00
7333,law_firm,Allen Law Firm,N/A,ContactUs,+18557190076,"Chandler, Arizona",Personal Injury,https://goodazlawyers.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:15.522667+00:00
7332,law_firm,Ramos Law,N/A,ContactUs,+13034816163,"Chandler, Arizona",Personal Injury,https://www.ramoslaw.com/findlaw/,1,1,68.33333333333334,75.0,2025-10-24T07:32:16.963169+00:00
7331,law_firm,Shapiro Law Team,N/A,ContactUs,+14803005405,"Chandler, Arizona",Personal Injury,https://www.shapirolawaz.com/,1,1,68.33333333333334,75.0,2025-10-24T07:32:17.102784+00:00
7330,law_firm,Thompson Law,N/A,ContactUs,+18444722910,"Chandler, Arizona",Personal Injury,https://1800lionlaw.com,1,1,68.33333333333334,75.0,2025-10-24T07:33:22.378767+00:00
7329,law_firm,Ciccarelli Law Offices,N/A,ContactUs,+16104728933,"Chandler, Arizona",Personal Injury,http://www.pajusticeattorneys.com/,1,1,68.33333333333334,75.0,2025-10-24T07:32:19.408106+00:00
7328,law_firm,"The Valley Law Group, LLC",N/A,ContactUs,+14808679002,"Chandler, Arizona",Personal Injury,https://thevalleylawgroup.com,1,1,68.33333333333334,75.0,2025-10-24T07:32:19.698705+00:00
7327,law_firm,The Valley Law Group,N/A,ContactUs,+14808679002,"Chandler, Arizona",Personal Injury,https://thevalleylawgroup.com/practice-areas/personal-injury-law/?adSubId=4228834,1,1,68.33333333333334,75.0,2025-10-24T07:32:20.137744+00:00
7326,law_firm,Genesis Injury & Accident Lawyers,N/A,ContactUs,+16028998139,"Chandler, Arizona",Personal Injury,https://theazaccidentinjuryattorney.com/?adSubId=4054322,1,1,68.33333333333334,75.0,2025-10-24T07:32:19.024090+00:00
7325,law_firm,"Gallagher & Kennedy, P.A.",N/A,N/A,N/A,"Mesa, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:21.579099+00:00
7324,law_firm,Lazzara Law Firm,N/A,N/A,N/A,"Mesa, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:22.385105+00:00
7323,law_firm,"Resnick & Louis, P.C.",N/A,N/A,N/A,"Mesa, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:22.576175+00:00
7322,law_firm,"Perez Law Group, PLLC",N/A,N/A,N/A,"Mesa, Arizona",Personal Injury,N/A,0,0,33.33333333333333,50.0,2025-10-24T07:32:23.509391+00:00
